row,col,latitude,longitude,mean_concentration,max_concentration,frequency_timesteps,percentile_95_concentration,hazard_quotient
5,12,-19.465650,-65.820770,0.000000,0.000000,1,0.000000,0.002222
5,13,-19.465650,-65.810770,0.000000,0.000000,1,0.000000,0.002222
5,14,-19.465650,-65.800770,0.000000,0.000000,1,0.000000,0.002222
5,20,-19.465650,-65.740770,0.000001,0.000001,1,0.000001,0.022222
5,21,-19.465650,-65.730770,0.000001,0.000001,1,0.000001,0.022222
5,22,-19.465650,-65.720770,0.000006,0.000011,2,0.000010,0.233333
5,23,-19.465650,-65.710770,0.000011,0.000011,2,0.000011,0.244444
5,24,-19.465650,-65.700770,0.000010,0.000011,2,0.000011,0.243333
5,25,-19.465650,-65.690770,0.000010,0.000011,3,0.000011,0.242222
5,26,-19.465650,-65.680770,0.000011,0.000011,3,0.000011,0.244444
5,27,-19.465650,-65.670770,0.000020,0.000020,3,0.000020,0.444444
5,28,-19.465650,-65.660770,0.000020,0.000020,3,0.000020,0.444444
5,29,-19.465650,-65.650770,0.000001,0.000001,3,0.000001,0.022222
6,11,-19.475650,-65.830770,0.000000,0.000000,1,0.000000,0.002222
6,12,-19.475650,-65.820770,0.000000,0.000000,1,0.000000,0.002222
6,13,-19.475650,-65.810770,0.000000,0.000000,1,0.000000,0.002222
6,14,-19.475650,-65.800770,0.000000,0.000000,1,0.000000,0.002222
6,15,-19.475650,-65.790770,0.000000,0.000000,1,0.000000,0.002222
6,20,-19.475650,-65.740770,0.000001,0.000001,1,0.000001,0.022222
6,21,-19.475650,-65.730770,0.000011,0.000011,1,0.000011,0.244444
6,22,-19.475650,-65.720770,0.000011,0.000011,2,0.000011,0.244444
6,23,-19.475650,-65.710770,0.000011,0.000011,2,0.000011,0.244444
6,24,-19.475650,-65.700770,0.000014,0.000020,3,0.000019,0.426444
6,25,-19.475650,-65.690770,0.000014,0.000020,3,0.000019,0.424444
6,26,-19.475650,-65.680770,0.000020,0.000020,3,0.000020,0.446444
6,27,-19.475650,-65.670770,0.000020,0.000020,3,0.000020,0.446444
6,28,-19.475650,-65.660770,0.000020,0.000021,3,0.000021,0.464444
6,29,-19.475650,-65.650770,0.000011,0.000011,3,0.000011,0.246667
6,30,-19.475650,-65.640770,0.000000,0.000000,3,0.000000,0.002222
6,31,-19.475650,-65.630770,0.000000,0.000000,3,0.000000,0.002222
6,32,-19.475650,-65.620770,0.000000,0.000000,3,0.000000,0.002222
7,11,-19.485650,-65.830770,0.000000,0.000000,1,0.000000,0.002222
7,12,-19.485650,-65.820770,0.000000,0.000000,1,0.000000,0.002222
7,13,-19.485650,-65.810770,0.000000,0.000000,2,0.000000,0.002222
7,14,-19.485650,-65.800770,0.000000,0.000000,2,0.000000,0.002222
7,15,-19.485650,-65.790770,0.000000,0.000000,2,0.000000,0.002222
7,16,-19.485650,-65.780770,0.000000,0.000000,1,0.000000,0.002222
7,18,-19.485650,-65.760770,0.000001,0.000001,1,0.000001,0.022222
7,19,-19.485650,-65.750770,0.000001,0.000001,2,0.000001,0.021222
7,20,-19.485650,-65.740770,0.000006,0.000012,2,0.000011,0.253444
7,21,-19.485650,-65.730770,0.000007,0.000012,3,0.000012,0.262222
7,22,-19.485650,-65.720770,0.000008,0.000012,3,0.000012,0.266667
7,23,-19.485650,-65.710770,0.000009,0.000012,4,0.000012,0.266667
7,24,-19.485650,-65.700770,0.000024,0.000030,3,0.000030,0.668667
7,25,-19.485650,-65.690770,0.000020,0.000030,4,0.000030,0.666667
7,26,-19.485650,-65.680770,0.000020,0.000030,5,0.000030,0.668444
7,27,-19.485650,-65.670770,0.000023,0.000030,4,0.000030,0.668556
7,28,-19.485650,-65.660770,0.000015,0.000021,4,0.000021,0.463333
7,29,-19.485650,-65.650770,0.000008,0.000011,4,0.000011,0.246667
7,30,-19.485650,-65.640770,0.000000,0.000000,3,0.000000,0.002222
