row,col,latitude,longitude,mean_concentration,max_concentration,frequency_timesteps,percentile_95_concentration,hazard_quotient
5,22,-19.466020,-65.720770,0.000001,0.000001,1,0.000001,0.066667
5,23,-19.466020,-65.710770,0.000001,0.000001,1,0.000001,0.066667
5,24,-19.466020,-65.700770,0.000001,0.000001,2,0.000001,0.066667
5,25,-19.466020,-65.690770,0.000006,0.000010,2,0.000010,0.636667
5,26,-19.466020,-65.680770,0.000002,0.000002,2,0.000002,0.130000
5,27,-19.466020,-65.670770,0.000006,0.000010,2,0.000010,0.640000
5,28,-19.466020,-65.660770,0.000006,0.000010,2,0.000010,0.640000
5,29,-19.466020,-65.650770,0.000001,0.000001,1,0.000001,0.066667
6,22,-19.476020,-65.720770,0.000001,0.000001,1,0.000001,0.066667
6,23,-19.476020,-65.710770,0.000001,0.000001,1,0.000001,0.066667
6,24,-19.476020,-65.700770,0.000006,0.000010,2,0.000010,0.636667
6,25,-19.476020,-65.690770,0.000006,0.000011,2,0.000010,0.700000
6,26,-19.476020,-65.680770,0.000010,0.000011,2,0.000011,0.730000
6,27,-19.476020,-65.670770,0.000015,0.000020,2,0.000019,1.300000
6,28,-19.476020,-65.660770,0.000015,0.000020,2,0.000019,1.300000
6,29,-19.476020,-65.650770,0.000004,0.000010,3,0.000009,0.613333
6,30,-19.476020,-65.640770,0.000000,0.000000,1,0.000000,0.006667
6,31,-19.476020,-65.630770,0.000000,0.000000,1,0.000000,0.006667
6,32,-19.476020,-65.620770,0.000000,0.000000,1,0.000000,0.006667
7,21,-19.486020,-65.730770,0.000001,0.000001,2,0.000001,0.066667
7,22,-19.486020,-65.720770,0.000001,0.000001,2,0.000001,0.066667
7,23,-19.486020,-65.710770,0.000006,0.000011,2,0.000010,0.700000
7,24,-19.486020,-65.700770,0.000005,0.000012,3,0.000011,0.726667
7,25,-19.486020,-65.690770,0.000015,0.000021,2,0.000020,1.363333
7,26,-19.486020,-65.680770,0.000014,0.000030,3,0.000028,1.866667
7,27,-19.486020,-65.670770,0.000015,0.000021,2,0.000020,1.363333
7,28,-19.486020,-65.660770,0.000015,0.000020,2,0.000019,1.300000
7,29,-19.486020,-65.650770,0.000007,0.000011,3,0.000011,0.726667
7,30,-19.486020,-65.640770,0.000000,0.000000,1,0.000000,0.006667
7,31,-19.486020,-65.630770,0.000000,0.000000,1,0.000000,0.006667
7,32,-19.486020,-65.620770,0.000000,0.000000,1,0.000000,0.006667
8,20,-19.496020,-65.740770,0.000001,0.000001,1,0.000001,0.066667
8,21,-19.496020,-65.730770,0.000001,0.000001,2,0.000001,0.066667
8,22,-19.496020,-65.720770,0.000010,0.000011,2,0.000011,0.730000
8,23,-19.496020,-65.710770,0.000038,0.000102,3,0.000093,6.186666
8,24,-19.496020,-65.700770,0.000041,0.000111,3,0.000101,6.733334
8,25,-19.496020,-65.690770,0.000074,0.000120,3,0.000118,7.867267
8,26,-19.496020,-65.680770,0.000077,0.000120,3,0.000118,7.867267
8,27,-19.496020,-65.670770,0.000081,0.000210,4,0.000194,12.915667
8,28,-19.496020,-65.660770,0.000078,0.000200,4,0.000185,12.349099
8,29,-19.496020,-65.650770,0.000053,0.000110,4,0.000109,7.239100
8,30,-19.496020,-65.640770,0.000000,0.000000,4,0.000000,0.006667
8,31,-19.496020,-65.630770,0.000000,0.000000,4,0.000000,0.006667
8,32,-19.496020,-65.620770,0.000000,0.000000,2,0.000000,0.006667
9,19,-19.506020,-65.750770,0.000001,0.000001,1,0.000001,0.066667
9,20,-19.506020,-65.740770,0.000006,0.000010,2,0.000010,0.636667
9,21,-19.506020,-65.730770,0.000008,0.000011,3,0.000011,0.733333
9,22,-19.506020,-65.720770,0.000041,0.000102,3,0.000094,6.253333
9,23,-19.506020,-65.710770,0.000036,0.000111,4,0.000097,6.490000
9,24,-19.506020,-65.700770,0.000038,0.000120,4,0.000105,7.000566
9,25,-19.506020,-65.690770,0.000052,0.000120,5,0.000118,7.867200
9,26,-19.506020,-65.680770,0.000059,0.000210,6,0.000185,12.338333
9,27,-19.506020,-65.670770,0.000059,0.000210,6,0.000185,12.338333
9,28,-19.506020,-65.660770,0.000057,0.000201,6,0.000178,11.883501
9,29,-19.506020,-65.650770,0.000056,0.000111,4,0.000110,7.301000
9,30,-19.506020,-65.640770,0.000000,0.000001,4,0.000001,0.057667
9,31,-19.506020,-65.630770,0.000000,0.000001,4,0.000001,0.057667
9,32,-19.506020,-65.620770,0.000000,0.000001,4,0.000001,0.057667
10,17,-19.516020,-65.770770,0.000001,0.000001,1,0.000001,0.066667
10,18,-19.516020,-65.760770,0.000001,0.000001,1,0.000001,0.066667
10,19,-19.516020,-65.750770,0.000004,0.000010,3,0.000009,0.606667
10,20,-19.516020,-65.740770,0.000028,0.000101,4,0.000087,5.823333
10,21,-19.516020,-65.730770,0.000043,0.000111,5,0.000109,7.280000
10,22,-19.516020,-65.720770,0.000058,0.000111,4,0.000111,7.400000
10,23,-19.516020,-65.710770,0.000103,0.000210,5,0.000208,13.880134
10,24,-19.516020,-65.700770,0.000087,0.000210,5,0.000190,12.681867
10,25,-19.516020,-65.690770,0.000076,0.000300,6,0.000253,16.855000
10,26,-19.516020,-65.680770,0.000256,0.001101,6,0.000901,60.066669
10,27,-19.516020,-65.670770,0.000241,0.001101,6,0.000878,58.566669
10,28,-19.516020,-65.660770,0.000239,0.001100,6,0.000875,58.355003
